monitor_time,data_time,power_w,type,action,decision,activity_score,habit_score,confidence_score,activity_level,habit_level,confidence_level,professional_percentage,data_age_minutes,reason
2025-07-17 17:31:42,2025-07-17 16:30:13,7.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.2,0.4689500747998868,0.2462199006364468,low,medium,low,100.0,1.5,
2025-07-17 17:46:42,2025-07-17 16:45:19,7.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.2,0.5171627457991712,0.3013434537205497,low,medium,low,100.0,1.4,
2025-07-17 18:01:42,2025-07-17 17:00:17,33.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.244859241126071,0.501732058854778,0.31449464581241704,low,medium,low,100.0,1.4,
2025-07-17 18:16:43,2025-07-17 17:15:12,23.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.2,0.4287311626067825,0.1828299147237796,low,medium,low,100.0,1.5,
2025-07-17 18:31:43,2025-07-17 17:30:26,39.0,normal_usage,No Action,,,,,,,,,1.3,"Power 39.0W ≥ 36.9W, within normal usage range"
2025-07-17 18:46:43,2025-07-17 17:45:09,1.0,phantom_load,Delay Decision,delay_decision,0.383401209579086,0.41594293733694665,0.2971701725933985,medium,medium,low,100.0,1.6,
2025-07-17 19:01:44,2025-07-17 18:00:20,0.0,phantom_load,Keep On,keep_on,0.7734640522875817,0.3811928690953527,0.824491938729688,high,medium,high,100.0,1.4,
2025-07-17 19:16:44,2025-07-17 18:15:08,0.0,phantom_load,Keep On,keep_on,0.7771108818485547,0.2955303798939517,0.8752988751224651,high,low,high,100.0,1.6,
2025-07-17 19:31:44,2025-07-17 18:30:16,0.0,phantom_load,Keep On,keep_on,0.7650610205440964,0.2955303798939517,0.7898861131100341,high,low,high,100.0,1.5,
2025-07-17 19:46:45,2025-07-17 18:45:04,1.0,phantom_load,Keep On,keep_on,0.7763439558961948,0.2955303798939517,0.7726134835335638,high,low,high,100.0,1.7,
2025-07-17 20:01:45,2025-07-17 19:00:20,1.0,phantom_load,Keep On,keep_on,0.7233123766230743,0.2955303798939517,0.7447073133373072,high,low,high,100.0,1.4,
2025-07-17 20:16:46,2025-07-17 19:15:16,0.0,phantom_load,Keep On,keep_on,0.7772288602941176,0.2955303798939517,0.8993828140480412,high,low,high,100.0,1.5,
